x;type
159470302.Buccal mucosa;Buccal mucosa
159713063.Buccal mucosa;Buccal mucosa
159733294.Buccal mucosa;Buccal mucosa
160744799.Buccal mucosa;Buccal mucosa
160825720.Buccal mucosa;Buccal mucosa
160866180.Buccal mucosa;Buccal mucosa
160886410.Buccal mucosa;Buccal mucosa
160906640.Buccal mucosa;Buccal mucosa
160947100.Buccal mucosa;Buccal mucosa
160967330.Buccal mucosa;Buccal mucosa
160987560.Buccal mucosa;Buccal mucosa
161007791.Buccal mucosa;Buccal mucosa
161270782.Buccal mucosa;Buccal mucosa
161311242.Buccal mucosa;Buccal mucosa
161331472.Buccal mucosa;Buccal mucosa
161473083.Buccal mucosa;Buccal mucosa
161554003.Buccal mucosa;Buccal mucosa
178713055.Buccal mucosa;Buccal mucosa
208027353.Buccal mucosa;Buccal mucosa
246515023.Buccal mucosa;Buccal mucosa
289996019.Buccal mucosa;Buccal mucosa
295137534.Buccal mucosa;Buccal mucosa
336497421.Buccal mucosa;Buccal mucosa
368533040.Buccal mucosa;Buccal mucosa
370027359.Buccal mucosa;Buccal mucosa
370425937.Buccal mucosa;Buccal mucosa
375450439.Buccal mucosa;Buccal mucosa
404239096.Buccal mucosa;Buccal mucosa
414519462.Buccal mucosa;Buccal mucosa
465578759.Buccal mucosa;Buccal mucosa
492786515.Buccal mucosa;Buccal mucosa
508703490.Buccal mucosa;Buccal mucosa
517810313.Buccal mucosa;Buccal mucosa
553359145.Buccal mucosa;Buccal mucosa
604812005.Buccal mucosa;Buccal mucosa
612472597.Buccal mucosa;Buccal mucosa
638754422.Buccal mucosa;Buccal mucosa
643185023.Buccal mucosa;Buccal mucosa
650853796.Buccal mucosa;Buccal mucosa
658594300.Buccal mucosa;Buccal mucosa
663835652.Buccal mucosa;Buccal mucosa
668248235.Buccal mucosa;Buccal mucosa
682449369.Buccal mucosa;Buccal mucosa
686765762.Buccal mucosa;Buccal mucosa
737052003.Buccal mucosa;Buccal mucosa
763395383.Buccal mucosa;Buccal mucosa
763435843.Buccal mucosa;Buccal mucosa
763456073.Buccal mucosa;Buccal mucosa
763476303.Buccal mucosa;Buccal mucosa
763516763.Buccal mucosa;Buccal mucosa
763536994.Buccal mucosa;Buccal mucosa
763557224.Buccal mucosa;Buccal mucosa
763597684.Buccal mucosa;Buccal mucosa
763638144.Buccal mucosa;Buccal mucosa
763698834.Buccal mucosa;Buccal mucosa
763719065.Buccal mucosa;Buccal mucosa
763759525.Buccal mucosa;Buccal mucosa
763820215.Buccal mucosa;Buccal mucosa
763840445.Buccal mucosa;Buccal mucosa
763860675.Buccal mucosa;Buccal mucosa
763880905.Buccal mucosa;Buccal mucosa
763901136.Buccal mucosa;Buccal mucosa
763921366.Buccal mucosa;Buccal mucosa
763982056.Buccal mucosa;Buccal mucosa
764002286.Buccal mucosa;Buccal mucosa
764042746.Buccal mucosa;Buccal mucosa
764062976.Buccal mucosa;Buccal mucosa
764083206.Buccal mucosa;Buccal mucosa
764143897.Buccal mucosa;Buccal mucosa
764184357.Buccal mucosa;Buccal mucosa
764224817.Buccal mucosa;Buccal mucosa
764245047.Buccal mucosa;Buccal mucosa
764285508.Buccal mucosa;Buccal mucosa
764305738.Buccal mucosa;Buccal mucosa
764325968.Buccal mucosa;Buccal mucosa
764346198.Buccal mucosa;Buccal mucosa
764366428.Buccal mucosa;Buccal mucosa
764447348.Buccal mucosa;Buccal mucosa
764467579.Buccal mucosa;Buccal mucosa
764487809.Buccal mucosa;Buccal mucosa
764508039.Buccal mucosa;Buccal mucosa
764588959.Buccal mucosa;Buccal mucosa
764649650.Buccal mucosa;Buccal mucosa
764669880.Buccal mucosa;Buccal mucosa
764750800.Buccal mucosa;Buccal mucosa
764811490.Buccal mucosa;Buccal mucosa
764831721.Buccal mucosa;Buccal mucosa
764872181.Buccal mucosa;Buccal mucosa
764892411.Buccal mucosa;Buccal mucosa
764953101.Buccal mucosa;Buccal mucosa
765013792.Buccal mucosa;Buccal mucosa
765034022.Buccal mucosa;Buccal mucosa
765074482.Buccal mucosa;Buccal mucosa
765094712.Buccal mucosa;Buccal mucosa
765155402.Buccal mucosa;Buccal mucosa
765195863.Buccal mucosa;Buccal mucosa
765216093.Buccal mucosa;Buccal mucosa
765256553.Buccal mucosa;Buccal mucosa
765276783.Buccal mucosa;Buccal mucosa
